No. of LEDs    Prefix
351            41 64 61 01 5e 0a
352            41 64 61 01 5f 0b
353            41 64 61 01 60 34
354            41 64 61 01 61 35
355            41 64 61 01 62 36
356            41 64 61 01 63 37
357            41 64 61 01 64 30
358            41 64 61 01 65 31
359            41 64 61 01 66 32
360            41 64 61 01 67 33
361            41 64 61 01 68 3c
362            41 64 61 01 69 3d
363            41 64 61 01 6a 3e
364            41 64 61 01 6b 3f
365            41 64 61 01 6c 38
366            41 64 61 01 6d 39
367            41 64 61 01 6e 3a
368            41 64 61 01 6f 3b
369            41 64 61 01 70 24
370            41 64 61 01 71 25
371            41 64 61 01 72 26
372            41 64 61 01 73 27
373            41 64 61 01 74 20
374            41 64 61 01 75 21
375            41 64 61 01 76 22
376            41 64 61 01 77 23
377            41 64 61 01 78 2c
378            41 64 61 01 79 2d
379            41 64 61 01 7a 2e
380            41 64 61 01 7b 2f
381            41 64 61 01 7c 28
382            41 64 61 01 7d 29
383            41 64 61 01 7e 2a
384            41 64 61 01 7f 2b
385            41 64 61 01 80 d4
386            41 64 61 01 81 d5
387            41 64 61 01 82 d6
388            41 64 61 01 83 d7
389            41 64 61 01 84 d0
390            41 64 61 01 85 d1
391            41 64 61 01 86 d2
392            41 64 61 01 87 d3
393            41 64 61 01 88 dc
394            41 64 61 01 89 dd
395            41 64 61 01 8a de
396            41 64 61 01 8b df
397            41 64 61 01 8c d8
398            41 64 61 01 8d d9
399            41 64 61 01 8e da
400            41 64 61 01 8f db
401            41 64 61 01 90 c4
402            41 64 61 01 91 c5
403            41 64 61 01 92 c6
404            41 64 61 01 93 c7
405            41 64 61 01 94 c0
406            41 64 61 01 95 c1
407            41 64 61 01 96 c2
408            41 64 61 01 97 c3
409            41 64 61 01 98 cc
410            41 64 61 01 99 cd
411            41 64 61 01 9a ce
412            41 64 61 01 9b cf
413            41 64 61 01 9c c8
414            41 64 61 01 9d c9
415            41 64 61 01 9e ca
416            41 64 61 01 9f cb
417            41 64 61 01 a0 f4
418            41 64 61 01 a1 f5
419            41 64 61 01 a2 f6
420            41 64 61 01 a3 f7
421            41 64 61 01 a4 f0
422            41 64 61 01 a5 f1
423            41 64 61 01 a6 f2
424            41 64 61 01 a7 f3
425            41 64 61 01 a8 fc
426            41 64 61 01 a9 fd
427            41 64 61 01 aa fe
428            41 64 61 01 ab ff
429            41 64 61 01 ac f8
430            41 64 61 01 ad f9
431            41 64 61 01 ae fa
432            41 64 61 01 af fb
433            41 64 61 01 b0 e4
434            41 64 61 01 b1 e5
435            41 64 61 01 b2 e6
436            41 64 61 01 b3 e7
437            41 64 61 01 b4 e0
438            41 64 61 01 b5 e1
439            41 64 61 01 b6 e2
440            41 64 61 01 b7 e3
441            41 64 61 01 b8 ec
442            41 64 61 01 b9 ed
443            41 64 61 01 ba ee
444            41 64 61 01 bb ef
445            41 64 61 01 bc e8
446            41 64 61 01 bd e9
447            41 64 61 01 be ea
448            41 64 61 01 bf eb
449            41 64 61 01 c0 94
450            41 64 61 01 c1 95
451            41 64 61 01 c2 96
452            41 64 61 01 c3 97
